seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
67,1,-20,100,-30,0,10.22898244857788
67,2,86,114,11,2,11.770907163619995
67,3,82,114,-1,3,12.956598997116089
67,4,86,110,-1,2,20.56608295440674
68,1,64,136,33,5,13.849849462509155
68,2,103,97,16,1,9.998587131500244
68,3,101,99,20,3,11.303503274917603
68,4,91,109,52,2,16.922215461730957
69,1,-75,111,-41,0,11.320035696029663
69,2,63,137,4,2,13.997519493103027
69,3,75,125,4,1,13.51157808303833
69,4,91,109,20,2,16.450222730636597
70,1,-90,114,-44,0,11.631118535995483
70,2,18,166,26,2,17.109748601913452
70,3,-24,160,26,2,18.008192539215088
70,4,48,152,38,3,28.719806432724
71,1,-46,154,-23,2,15.659598350524902
71,2,-34,150,1,1,15.388931274414062
71,3,46,154,19,2,16.868871927261353
71,4,42,158,1,3,29.15777063369751
72,1,38,162,6,3,16.47033977508545
72,2,80,120,0,1,12.34257197380066
72,3,40,160,42,3,17.38356328010559
72,4,56,144,24,2,21.803028345108032
73,1,-32,120,38,1,12.21999216079712
73,2,49,151,33,3,15.478150844573975
73,3,67,133,33,2,14.300930738449097
73,4,79,121,33,2,18.03195810317993
74,1,40,160,38,4,16.27111268043518
74,2,-6,198,38,4,20.228227376937866
74,3,3,197,19,5,21.557698249816895
74,4,45,155,27,4,25.288827419281006
75,1,65,135,13,2,13.737822771072388
75,2,73,127,13,2,13.068448305130005
75,3,91,109,7,1,12.228323698043823
75,4,111,89,29,1,15.914804458618164
76,1,80,112,-2,1,11.42813754081726
76,2,-22,142,34,2,14.609308004379272
76,3,82,110,-2,1,12.429637908935547
76,4,82,110,-2,1,19.32684898376465
77,1,115,73,-3,0,7.478768587112427
77,2,102,98,38,2,10.095265865325928
77,3,126,74,6,1,8.288200616836548
77,4,136,64,16,1,12.542314529418945
78,1,120,72,-2,0,7.380574941635132
78,2,41,131,6,1,13.429799556732178
78,3,91,109,6,1,12.019928216934204
78,4,91,109,6,1,17.719974756240845
79,1,-93,165,43,3,16.7727267742157
79,2,33,167,7,2,17.143460988998413
79,3,45,155,11,3,17.423142194747925
79,4,45,155,11,2,23.8230082988739
80,1,105,75,-5,0,7.6689043045043945
80,2,75,101,35,1,10.390944719314575
80,3,105,75,-5,0,8.59603762626648
80,4,109,91,29,1,15.597403049468994
81,1,58,142,13,2,14.438748359680176
81,2,2,166,37,3,16.994897842407227
81,3,86,114,13,1,12.506223201751709
81,4,74,126,13,2,20.74983310699463
82,1,20,120,-15,2,12.220070600509644
82,2,24,152,23,2,15.60974931716919
82,3,22,178,29,5,19.762845754623413
82,4,48,152,1,2,25.03080654144287
83,1,66,110,41,2,11.232262372970581
83,2,66,98,41,1,10.111452341079712
83,3,44,156,41,4,17.239768028259277
83,4,84,116,41,2,19.54904007911682
84,1,19,125,46,3,12.718991756439209
84,2,35,137,-2,1,14.038926124572754
84,3,67,133,24,3,14.817965745925903
84,4,59,113,24,1,18.28879976272583
85,1,-6,158,44,2,16.053457021713257
85,2,65,123,-3,1,12.649507284164429
85,3,73,127,39,2,14.00780725479126
85,4,69,131,39,2,20.956905841827393
86,1,51,149,2,4,15.148866653442383
86,2,44,156,37,4,15.971410036087036
86,3,34,166,37,6,18.37100052833557
86,4,76,124,33,4,20.572283506393433
87,1,80,84,-9,1,8.606143474578857
87,2,83,113,18,1,11.588695287704468
87,3,98,102,27,1,11.03906798362732
87,4,107,93,18,1,14.242587327957153
88,1,50,86,-16,0,8.803101539611816
88,2,94,106,14,1,10.889175653457642
88,3,98,102,4,1,11.17848253250122
88,4,118,82,32,1,13.208580255508423
89,1,68,132,12,2,13.44200587272644
89,2,44,156,2,2,15.991524696350098
89,3,120,80,24,1,9.314688682556152
89,4,120,80,24,1,15.429239511489868
90,1,50,86,-16,0,8.799886226654053
90,2,43,125,13,1,12.869557619094849
90,3,81,119,11,2,13.489790678024292
90,4,85,115,41,2,20.049286603927612
91,1,43,149,25,2,15.149679183959961
91,2,-2,154,4,2,15.791849613189697
91,3,72,128,8,2,14.261772632598877
91,4,92,108,20,1,17.812306880950928
92,1,30,90,-20,0,9.198715686798096
92,2,49,143,35,2,14.693260669708252
92,3,63,137,33,2,15.152348279953003
92,4,85,115,15,2,20.558793544769287
93,1,-30,102,-32,0,10.409326553344727
93,2,95,105,17,1,10.800258159637451
93,3,89,111,17,1,12.299062967300415
93,4,93,107,17,1,16.717493295669556
94,1,49,111,43,2,11.3309965133667
94,2,69,131,43,3,13.453070402145386
94,3,99,101,23,1,11.291156768798828
94,4,93,107,7,1,17.120457410812378
95,1,-7,143,3,1,14.57132887840271
95,2,-67,171,41,2,17.537193059921265
95,3,89,107,-1,1,12.392247676849365
95,4,73,123,-1,2,22.75032615661621
96,1,25,103,45,1,10.530085563659668
96,2,93,107,9,1,11.00675106048584
96,3,89,111,9,1,12.05537223815918
96,4,105,95,1,1,14.692048788070679
97,1,73,115,18,1,11.737736463546753
97,2,101,99,6,1,10.25998592376709
97,3,79,117,14,1,13.060744047164917
97,4,87,113,8,1,19.400596618652344
