seed,profundidade,pontuacao,passos,bateria_final,recargas,tempo_execucao
71,1,-46,154,-23,2,15.691874027252197
71,2,-34,150,1,1,15.450257539749146
71,3,46,154,19,2,17.409814596176147
71,4,42,158,1,3,33.46677112579346
71,5,48,152,1,2,96.14713549613953
72,1,38,162,6,3,16.50288414955139
72,2,80,120,0,1,12.421717166900635
72,3,40,160,42,3,17.9083993434906
72,4,56,144,24,2,24.491687059402466
72,5,90,110,0,1,67.66004681587219
73,1,-32,120,38,1,12.2515287399292
73,2,49,151,33,3,15.56854796409607
73,3,67,133,33,2,14.72679352760315
73,4,79,121,33,2,19.752276182174683
73,5,83,117,25,2,63.76378893852234
74,1,40,160,38,4,16.290059804916382
74,2,-6,198,38,4,20.29133677482605
74,3,3,197,19,5,22.0597722530365
74,4,45,155,27,4,28.480956315994263
74,5,80,120,8,2,77.49014186859131
75,1,65,135,13,2,13.770704746246338
75,2,73,127,13,2,13.139118909835815
75,3,91,109,7,1,12.56740665435791
75,4,111,89,29,1,18.312577962875366
75,5,111,89,29,1,63.52267599105835
76,1,80,112,-2,1,11.458309650421143
76,2,-22,142,34,2,14.739380598068237
76,3,82,110,-2,1,12.911048412322998
76,4,82,110,-2,1,22.970715761184692
76,5,80,112,-2,1,86.03056120872498
77,1,115,73,-3,0,11.730705976486206
77,2,102,98,38,2,16.33831214904785
77,3,126,74,6,1,12.330492496490479
77,4,136,64,16,1,18.549827098846436
77,5,136,64,16,1,48.539031982421875
78,1,120,72,-2,0,7.41805100440979
78,2,41,131,6,1,13.520118951797485
78,3,91,109,6,1,12.608141660690308
78,4,91,109,6,1,21.0089328289032
78,5,120,72,-2,0,65.97791528701782
79,1,-93,165,43,3,16.82260537147522
79,2,33,167,7,2,17.243120908737183
79,3,45,155,11,3,18.03858780860901
79,4,45,155,11,2,26.809239149093628
79,5,47,153,39,3,99.91951632499695
80,1,105,75,-5,0,7.710384130477905
80,2,75,101,35,1,10.46962594985962
80,3,105,75,-5,0,8.959782838821411
80,4,109,91,29,1,18.007503986358643
80,5,101,99,3,1,64.16714096069336
81,1,58,142,13,2,14.479013681411743
81,2,2,166,37,3,17.09848380088806
81,3,86,114,13,1,12.942259073257446
81,4,74,126,13,2,23.61851978302002
81,5,68,132,13,2,70.15985417366028
